2016-09-05 09:10:23,016 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_33ac548dcf5f8e37_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2016-09-05 09:10:23,071 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.055) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_33ac548dcf5f8e37_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2016-09-05 09:10:23,072 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX `auth_user_groups_e8701ad4` ON `auth_user_groups` (`user_id`); (params [])
2016-09-05 09:10:23,128 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.056) CREATE INDEX `auth_user_groups_e8701ad4` ON `auth_user_groups` (`user_id`); args=[]
2016-09-05 09:10:23,128 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX `auth_user_groups_0e939a4f` ON `auth_user_groups` (`group_id`); (params [])
2016-09-05 09:10:23,195 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.067) CREATE INDEX `auth_user_groups_0e939a4f` ON `auth_user_groups` (`group_id`); args=[]
2016-09-05 09:10:23,195 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissi_user_id_7f0938558328534a_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2016-09-05 09:10:23,254 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.058) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissi_user_id_7f0938558328534a_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2016-09-05 09:10:23,254 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_u_permission_id_384b62483d7071f0_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2016-09-05 09:10:23,307 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.053) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_u_permission_id_384b62483d7071f0_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
